Company Name
ADV METAL COMBINE PVT. LTD.
A K M RECYCLERS
ALFA TRADING COMPANY
Anubahv e-waste recycler india llp
Arlington Information Systems Pvt Ltd
ARP RECYCLING PRIVATE LIMITED
Ash Recyclers
BHARAT OIL AND WASTE MANAGEMENT LTD.
BHARAT OIL COMPANY (I) REGD.
BLACK DIAMOND CEMENTS PRIVATE LIMITED
"Circularity Solutions Pvt Ltd, Nashik"
COMNET E WASTE LLP
DRON E WASTE SOLUTION
ECO GREEN RECYCLING
ELGREEN RECYCLING PRIVATE LIMITED
Enviropro Sustainability Private Limited
Epragathi Recycle Private Limited
E TREE TECHNOLOGIES
Evergreen e waste Management Pvt Ltd
EVER GREEN EWASTE RECYCLING MANAGEMENT
Eximo Recycling Pvt Ltd
EXSTRAT
FS INDIA SOLAR VENTURES PRIVATE LIMITED
GLACIER WASTE MANAGEMENT LLP
GLOBAL INTERNATIONAL
GLOBAL TRADERS
GNR RECYCLING INDIA PRIVATE LIMITED
GOGREEN RECYCLING
Gracy Eco Traders
Green Enviro Management Solutions LLP
GREENGLOBAL RECYCLING PRIVATELIMITED
GREEN TECH RECYCLING
GREEN VALLEY RECYCLING PRIVATE LIMITED
GREENWISH E WASTE RECYCLERS
Hal Solution Private Limited
Haq Processing Private Limited
Hi Tech Scrap Processors
I D Technocom
INCLUSIVE RECYCLING FOUNDATION
I Seven
Ishvarya Traders
KH E WASTE RECYCLERS
Kohinoor E waste Recycling Pvt Ltd
KRV SOLAR
MALAPANI ANTENNA ELECTRONICS LTD
MASSRR e-Neermalya
MEGA RECYCLING PRIVATE LIMITED
MELIORATE LUBES PVT LTD
Mothiya Brothers
MS 2nds Computers
M/S E-WASTE RECYCLERS INDIA
MUZASHI RECYCLERS PRIVATE LIMITED
NATIONAL TRADING CORPORATION
NAVKAR RECYCLING PRIVATE LIMITED
New India Organics
New India Recyclers
Ortech India Corporation
PRAKASH METAL HOUSE
PRIVI SPECIALITY CHEMICALS LIMITED
PUNE ok GREENS ELECTRONIC WASTE RECYCLER PRIVATE LIMITED
RAZA ENTERPRISES
RECYCLE MITRA ECO CARE LLP
Resource e Waste Solutions Pvt Ltd
REWASTO RECYCLING
RKE RECYCLING INTERNATIONAL LLP
SACHIN ENTERPRISES
SAHNI ENTERPRISES
SARA RECYCLING
SHABBIR TRADERS
SHEELTRON DIGITAL SYSTEMS PRIVATE LIMITED
Shiwshakti Metal Works
Shreeram E Waste Recyclers And Traders
SHRI RAAM RECYCLING
SIDDHAVI TECH
SONI RECYCLE COMPABY
SPRECO RECYCLING
Spreco Resource Recyclers
SRI BALAJI
STAR RECYCLING
SUN E WASTE RECYCLING CO
SUNGEEL INDIA RECYCLING PVT LTD
TRISHYIRAYA RECYCLING INDIA PRIVATE LIMITED
UNIQUE RECYCLING
Universal Waste Management
URBAN METALS
USH INDIA RECYCLER PVT LTD
VIABLE E-WASTE RECYCLER PRIVATE LIMITED
VICTORY RECOVERY RECYCLE TECHNOLOGIES INDIA PRIVATE LIMITED
