Company Name
4R Recycling Pvt Ltd
A K BARRELS
Anand Computer Systems
A ONE E-WASTE RECYCLING
Aqsa Stamping
ARIHANT E RECYCLING PRIVATE LIMITED
Attero Recycling Pvt. Ltd
AV Sourcing Private Limited
Axom Refurbisher
Bombay Recyclers Private Limited
BRP INFOTECH PRIVATE LIMITED
BSQUERE EWASTE RECYCLERS
Clean E waste Recycling
COMMUNICATIONS TEST DESIGN INDIA PRIVATE LIMITED
C S MITRA E-WASTE MANAGEMENT
Deshwal Waste Management Pvt. Ltd
Deshwal Waste Management Pvt. Ltd.
E-CLEAN E-GREEN RECYCLING
Eco Recycling Limited
EcoTantra LLP
Eco Tech Recycling
E HASIRU
Elxion Pvt Ltd Unit2
EMS SCRAPO
ENVIROCARE RECYCLING PRIVATE LIMITED
Envirokare Recycling Solutions Pvt Ltd 
ENVIRO TECH IT SOLUTIONS
epragathi recycing
Erecon Recycling Pvt.Ltd
E Scrappy Recyclers
ETCO E-WASTE RECYCLER PRIVATE LIMITED
E-Waste Recyclers India
F1 INFO SOLUTIONS & SERVICES PRIVATE LIMITED
Fiz Trading Company
Gauvins Green Management Private Limited
GLOBAL METALISTS PRIVATE LIMITED
GLOBAL TRADERS
GNG Electronics pvt ltd
GO GREEN E-RECYCLING
GRADE INFRATECH PVT LTD
Green Bird Recycling
Green India E-waste & Recycling OPC Pvt Ltd
Green IT Recycling Centre Pvt Ltd
GREENLET RECYCLER PRIVATE LIMITED
Green PC World Private Limited
GREENSCAPE ECO MANAGEMENT PRIVATE LIMITED
Greentek Reman Private Limited
GREENVIEW E WASTE RECYCLING
Green Web Recycling
GRKMS PVT LTD
HAQ PROCESSING PRIVATE LIMITED
HSA GREEN IT E-WASTE
INGRAM MICRO INDIA PRIVATE LIMITED
Ingram Micro India Pvt. Ltd
J K CORPORATION
JSA WEB SOLUTIONS
Justdispose Recycling Pvt Ltd
Krishna Metal Refinery
MAHARASHTRA ENTERPRISES
MAHESH TRADERS
M A K TECHNOLOGY INDUSTRIAL
Manak Waste Management Private Limited
MARSS RECYCLER PVT. LTD
Masstech Recycling LLP
MATRIX INFO SYSTEMS PRIVATE LIMITED
Meta tech
Moonlaxmi-E-Waste & Recycling Solutions LLP
M/S Kesariya Metal Corporation
M/s MEHER WASTE SOLUTIONS
M/s Pranam Enterproses
M/S SHABBIR TRADERS
M/s Sultan Disposal Stores
Muskmelon Envtech Pvt Ltd
My Return Solutions Private Limited
Pegasus Waste Management Pvt Ltd
POONA E WASTE SOLUTIONS
PRABHUNATH TRADERS
PROPLANET RECYCLERS LLP
P U STEEL & ELECTRO PROCESS PRIVATE LIMITED
Puthur Infotech Private Limited
RAMKY ARM RECYCLING PRIVATE LIMITED
RECYCLE MITRA ECO CARE LLP
Resource E Waste Solutions Private Limited
Re Sustainability Reldan Refining Private Limited
RIOT LABZ PRIVATE LIMITED
RK ENTERPRISES
ROSHANI SCRAP CENTER
Saahas Waste Management Pvt. Ltd
SADAB TRADERS
Sas Tech E Waste Recycling Solutions
S K Enterprises
S. K. ENTERPRISES
S N BROTHERS
SOGO SYNERGY PRIVATE LIMITED
SONAL METACOP
SPC INTERNATIONAL (INDIA) PRIVATE LIMITED
SRIRAM ECO RAKSHA COMPUTER SERVICE PRIVATE LIMITED
TAJ COMPUTER SOLUTIONS PRIVATE LIMITED
TAJ COMPUTER SOLUTIONS PRIVATE LIMITED
TECHCHEF EWASTE SOLUTIONS PRIVATE LIMITED
Terranova Eco Management Private Limited
TES-AMM (INDIA) PRIVATE LIMITED
THARANI ELECTRONICS WASTE
Trishulin Enterprises
Trishyiraya Recycling India Private Limited
vivo Mobile India Pvt Ltd
West Land Gadgetry LLP
Wipro GE Healthcare Pvt. Ltd
WONDER PRINT TECHNOLOGIES
YAANTRA
