Company Name
4R Recycling Pvt Ltd
A ONE E-WASTE RECYCLING
Axom Refurbisher
COMMUNICATIONS TEST DESIGN INDIA PRIVATE LIMITED
Deshwal Waste Management Pvt. Ltd.
Eco Tech Recycling
E HASIRU
EMS SCRAPO
ENVIROCARE RECYCLING PRIVATE LIMITED
Envirokare Recycling Solutions Pvt Ltd 
epragathi recycing
ETCO E-WASTE RECYCLER PRIVATE LIMITED
Fiz Trading Company
GLOBAL METALISTS PRIVATE LIMITED
GNG Electronics pvt ltd
GRADE INFRATECH PVT LTD
Green PC World Private Limited
GREENSCAPE ECO MANAGEMENT PRIVATE LIMITED
Greentek Reman Private Limited
GRKMS PVT LTD
INGRAM MICRO INDIA PRIVATE LIMITED
Ingram Micro India Pvt. Ltd
J K CORPORATION
JSA WEB SOLUTIONS
Krishna Metal Refinery
MAHARASHTRA ENTERPRISES
MAHESH TRADERS
M A K TECHNOLOGY INDUSTRIAL
Manak Waste Management Private Limited
MATRIX INFO SYSTEMS PRIVATE LIMITED
M/S SHABBIR TRADERS
M/s Sultan Disposal Stores
My Return Solutions Private Limited
PROPLANET RECYCLERS LLP
P U STEEL & ELECTRO PROCESS PRIVATE LIMITED
Puthur Infotech Private Limited
RIOT LABZ PRIVATE LIMITED
ROSHANI SCRAP CENTER
Saahas Waste Management Pvt. Ltd
Sas Tech E Waste Recycling Solutions
S K Enterprises
SPC INTERNATIONAL (INDIA) PRIVATE LIMITED
SRIRAM ECO RAKSHA COMPUTER SERVICE PRIVATE LIMITED
TAJ COMPUTER SOLUTIONS PRIVATE LIMITED
TES-AMM (INDIA) PRIVATE LIMITED
Trishyiraya Recycling India Private Limited
vivo Mobile India Pvt Ltd
