Company Name
Arihant E Recycling Pvt Ltd
WE-The Recycling Company
Techeco E-Waste Namo LLP
Threco Recycling LLP
Hi-Tech Recycling (I) Pvt. Ltd
Justdispose Recycling Pvt Ltd. (Unit- II)
E-Incarnation Recycling Pvt. Ltd. Plot No. J-56
Eco Recycling Limited
"Evergreen Recyclekaro India Pvt.
 Ltd."
Eco Reset Private Limited
S V Greentech Private Limited
Global E-Recycling Pvt Ltd.
Green IT Recycling Center Pvt Ltd
Green India E-Waste & Recycling OPC Pvt. Ltd.
Suritex Pvt. Ltd.
Green Valley E Waste Management Pvt Ltd
Sayma E-Waste Solutions
Green Valley E-waste Management Pvt. Ltd.
Western Recycler
Tarai Projects Pvt. Ltd.
Jeenali Trading & Comm. Serv. Pvt. Ltd.
Unique Recycling
"New India Recyclers
 Plot No. 5 & 6"
Electrofine Recycling (OPC) Private Limited
Binbay Recycling Pvt. Ltd.
Greenbay Enterprises
Green Life E Waste Recycling Pvt Ltd 
Bhangarwala Waste Management Pvt Ltd.
Comnet E-Waste LLP
Ecolayer E-Waste Recycling
Bhagyalakshmi Laboratories Limited
Eco-Recycling Ltd.
GNR Recycling India Pvt Ltd
E-Survival Recycling Private Limited
"Green Enviro Management
 Solutions LLP"
"Trans Thane Creek Waste
 Management Association
 P-128"
Mercury Metal Industries (Unit III)
Aman E-Waste Recyclers Pvt Ltd.
ECO Friend Industries
Pune Green Electronic Waste Recycler Pvt. Ltd.
E-Frontline Recycling Pvt. Ltd. Gat No. 183/1
JRS Recycling Solutions Pvt. Ltd. Gala No. 428
Kuldeep Green Recyclers Private Limited
Vozon Comsof Pvt Ltd
J K Corporation
Ambar Enterprises
Kohinoor E-Waste Recycling Pvt. Ltd. Gut No. 205/1 and 205/2
Poona E-Waste Solutions
J Choudhary & Company
E-Refine Corporation
Wonder Print Technologies
Masstech Recycling LLP
Nasib Scrap Centre
Roshani Scrap Center
GNG Electronics Pvt. Ltd.
Diamond Machinery Tools
"New India Recyclers
 Plot No. 5 & 6"
Jai Ambe Enterprises
Moonlaxmi-E-Waste & Recycling Solutions LLP
Big Bull Recyclers Private Limited
Zakiya Amin Enterprises
Maharashtra Enterprises Plot No.D-49/2
Amin Industries
Erecon Recycling Pvt. Ltd.
Go Green E-Recycling
Sai Enterprises
"Somnath Industries Pvt Ltd..
 OS-56"
Bombay Scrap Traders
Afton E-Waste Recycling
ASK Steel
M. S. Malik
Aman E-Waste Disposal
Glacier Waste Management LLP
Trishulin Enterprises
Kesariya Metal Conrporation
Raj Enterprises
Imagine Marketing Limited
Shuaib Traders
"Deshwal Waste Management Pvt.
 Ltd."
Dev IT Serv Pvt Ltd
Shree Recyclers
"Lexim International Pvt. Ltd.
 Plot No. D-192"
"Naaz Trading Company
 Gat No. 66"
