ID,Company Name,MATCH in mpcb,Info,Status,Type,Address,District,State,Capacity Allotted as per Consent / Authorisation (MT/A),E-mail Address,Contact Number
71321,J K CORPORATION,Available in MPCB Data,Refurbisher,Approved by CPCB Authority,Authorization,"Survey No. 242/274, Hissa No. 1 & 2 Vaganpada, Near Nana Steel, Pelhar, Nalasopara (E), Tal. Vasai, Dist. Palghar - 401208 Vasai Palghar",Palghar,MAHARASHTRA,,,
506545,KRISHNA METAL REFINERY,Available in MPCB Data,Refurbisher,Approved by CPCB Authority,Authorization,"Plot No 2/143,Sapronde Village Post Uchat,Taluka Wada,Dist Thane Village Sapronde,Tal Wada,Dist Thane Thane",Thane,MAHARASHTRA,,,
58419,MAHARASHTRA ENTERPRISES,Available in MPCB Data,Refurbisher,Approved by CPCB Authority,Authorization,"Plot No.D-49/2, MIDC Dhule Dist. Dhule, Maharashtra Dhule Dhule",Dhule,MAHARASHTRA,,,
60580,MAHESH TRADERS,Available in MPCB Data,Refurbisher,Approved by CPCB Authority,Authorization,"PLOT NO.18, E WARD, SHREE SHAHU MARKET YARD, MARKET YARD, Kolhapur, Maharashtra, 416005 PLOT NO.18, E WARD, SHREE SHAHU MARKET YARD, MARKET YARD, Kolhapur, Maharashtra, 416005 Kolhapur Kolhapur",Kolhapur,MAHARASHTRA,,,
671111,ROSHANI SCRAP CENTER,Available in MPCB Data,Refurbisher,Approved by CPCB Authority,Authorization,"Gat No 879, Nurani Masjid, Kudalwadi, Chikhali, Pune Pune Pune",Pune,MAHARASHTRA,,,
1651449,S K ENTERPRISES,Available in MPCB Data,Refurbisher,Approved by CPCB Authority,Authorization,"S. No. 77, Hissa No. 1 Hindustan Market, Daighar, Shil Phata Road Thane Thane",Thane,MAHARASHTRA,,,
9681,ALFA TRADING COMPANY,Available in MPCB Data,Recycler,Pending at applicant,Authorization,"Mohd Estate, Pimpri Dahisar Mori, Mumbra Panvel Road Thane Thane",Thane,MAHARASHTRA,,,
58995,ARSH RECYCLING PRIVATE LIMITED,Available in MPCB Data,Recycler,Approved by CPCB Authority,Authorization,F-203 UPSIDC INDUSTRIAL AREA MG ROAD GHAZIABAD GHAZIABAD HAPUR Hapur,Hapur,UTTAR PRADESH,,,
8911,ECO FRIEND INDUSTRIES,Available in MPCB Data,Recycler,Approved by CPCB Authority,Authorization,"A205 TTC MIDC Thane Belapur Rd., Pawane Navi Mumbai Thane",Thane,MAHARASHTRA,,,
198,ECO RECYCLING LIMITED,Available in MPCB Data,Recycler,Approved by CPCB Authority,Authorization,"Eco House, S No 22, H No 6 and 7, Near Top Glass Enclave, Bhoidapada Near Range Office, Sativali Road, Vasai East, Dist Palghar Vasai Thane",Thane,MAHARASHTRA,,,
182,ECO RESET PRIVATE LIMITED,Available in MPCB Data,Recycler,Approved by CPCB Authority,Authorization,"Plot No.-19/1, Village-Bhowari, Tal.-Kamptee, District-Nagpur nagpur Nagpur",Nagpur,MAHARASHTRA,,,
8972,ECOSTAR RECYCLING,Available in MPCB Data,Recycler,Approved by CPCB Authority,Authorization,GARIB NAWAZ ESTATE HISSA NO 2/A FACTORY NO 642 SURVEY NO 8 TALOJA MIDC ROAD DAHISAR WAKLAN ROAD DHISAR MORI THANE Thane,Thane,MAHARASHTRA,,,
16008,GLACIER WASTE MANAGEMENT LLP,Available in MPCB Data,Recycler,Pending at applicant,Authorization,B-49 MIDC Vita Karve vita 415311 Vita Sangli,Sangli,MAHARASHTRA,,,
1412342,GREENBAY ENTERPRISES,Available in MPCB Data,Recycler,Pending at CPCB,Authorization,"SR NO - 144/1/2/2B, MILKAT NO 4149, GANESH NAGAR, KATRAJ SASWAD ROAD, MANTARWADI CHOWK FURSUNGI FURSUNGI,PUNE MAHARASHTRA , 412308 PUNE Pune",Pune,MAHARASHTRA,,,
973117,GREEN CARE E WASTE RECYCLING,Available in MPCB Data,Recycler,Approved by CPCB Authority,Authorization,"Unit No. 9, Ground Floor, Building 63/KS-1 Village Pogaon, Tal. Bhiwandi, Dist. Thane Bhiwandi Thane",Thane,MAHARASHTRA,,,
9338,GREEN LIFE E WASTE RECYCLING PVT LTD,Available in MPCB Data,Recycler,Approved by CPCB Authority,Authorization,Plot NO 11 G No 40 Karodi Aurangabad Aurangabad Aurangabad,Aurangabad,MAHARASHTRA,,,
9206,NATIONAL TRADING CORPORATION,Available in MPCB Data,Recycler,Pending at applicant,Authorization,"6A,,FIRDOS COMPOUND,,KHERANI ROAD,NR.RAHAT HOTEL KURLA WEST,MUMBAI SUBURBAN MUMBAI Thane",Thane,MAHARASHTRA,,,
28882,RAZA ENTERPRISES,Available in MPCB Data,Recycler,Pending at applicant,Authorization,"Sr. No. 124, Shed-A Gate No. 1 Khandve Nagar Pune-Nagar Road Kharadi Pune Tal. Haveli, Dist. Pune 411047 Pune Pune",Pune,MAHARASHTRA,,,
8962,RECYCLE MITRA ECO CARE LLP,Available in MPCB Data,Recycler,Pending at applicant,Authorization,"Plot No-A368, Floor No.1, M.H Industries,Road No-26 Wagle Indusrial Estate, Thane, Thane (Municipal Corporation), Thane Mumbai Thane",Thane,MAHARASHTRA,,,
124,SCAPE E RECYCLER PRIVATE LIMITED,Available in MPCB Data,Recycler,Approved by CPCB Authority,Authorization,"Plot 11-12, 17-18, 26-28 Chanakya Nagari Purna Parbhani",Parbhani,MAHARASHTRA,,,
59352,SHABBIR TRADERS,Available in MPCB Data,Recycler,Pending at applicant,Authorization,"Gala No P/16 S. No 121/1 AND 121/2,BALAJI INDUSTRIS PARK, TONDRE VILLAGE MIDC Taloja Road, BEHIND HINDALCO COMPANY, Taloja MIDC, Navi Mumbai, Raigad, Maharashtra, Navi Mumbai Raigarh(MH)",Raigarh(MH),MAHARASHTRA,,,
14374,S V GREENTECH PRIVATE LIMITED,Available in MPCB Data,Recycler,Approved by CPCB Authority,Authorization,"Gut No. 517/1 &amp; 529, AT-Kelthan Village, Vada Palghar Kelthan Palghar, Maharashtra - 401204 Mumbai Mumbai",Mumbai,MAHARASHTRA,,,
192,THRECO RECYCLING LLP,Available in MPCB Data,Recycler,Approved by CPCB Authority,Authorization,"Hissa no. 1, Plot 153 and 149, Hedavli Village, Khopoli Pali Road, Pali Raigarh(MH)",Raigarh(MH),MAHARASHTRA,,,
8971,UNIQUE RECYCLING,Available in MPCB Data,Recycler,Pending at applicant,Authorization,Gat No 287 Nanekarwadi Tal Khed Pune Pune,Pune,MAHARASHTRA,,,
6507,UNIVERSAL WASTE MANAGEMENT,Available in MPCB Data,Recycler,Pending at applicant,Authorization,B-10 DPK Comp Khairani Rd Sakinaka Mumbai Mumbai,Mumbai,MAHARASHTRA,,,
8932,VOZON COMSOF PVT LTD,Available in MPCB Data,Recycler,Approved by CPCB Authority,Authorization,Survye No 19/9 Buchade wasti Near Indira Collage Road Marunjji Tal Mulshi dist pune Pune Pune,Pune,MAHARASHTRA,,,
5848,WESTERN RECYCLER,Available in MPCB Data,Recycler,Approved by CPCB Authority,Authorization,"PLOT NO 633,SURVEY NO 8-2 SHILPHATA PANVEL ROAD,AT POST DAHISER,DIST THANE AT POST DAHISER Thane",Thane,MAHARASHTRA,,,
58995,ARSH RECYCLING PRIVATE LIMITED,Available in MPCB Data,Recycler,Approved by CPCB Authority,Authorization,F-203 UPSIDC INDUSTRIAL AREA MG ROAD GHAZIABAD GHAZIABAD HAPUR 201001,Hapur,UTTAR PRADESH,,,
8911,ECO FRIEND INDUSTRIES,Available in MPCB Data,Recycler,Approved by CPCB Authority,Authorization,"A205 TTC MIDC Thane Belapur Rd., Pawane Navi Mumbai 400710",Thane,MAHARASHTRA,,,
198,ECO RECYCLING LIMITED,Available in MPCB Data,Recycler,Approved by CPCB Authority,Authorization,"Eco House, S No 22, H No 6 and 7, Near Top Glass Enclave, Bhoidapada Near Range Office, Sativali Road, Vasai East, Dist Palghar Vasai 401208",Thane,MAHARASHTRA,,,
182,ECO RESET PRIVATE LIMITED,Available in MPCB Data,Recycler,Approved by CPCB Authority,Authorization,"Plot No.-19/1, Village-Bhowari, Tal.-Kamptee, District-Nagpur nagpur 441001",Nagpur,MAHARASHTRA,,,
8972,ECOSTAR RECYCLING,Available in MPCB Data,Recycler,Approved by CPCB Authority,Authorization,GARIB NAWAZ ESTATE HISSA NO 2/A FACTORY NO 642 SURVEY NO 8 TALOJA MIDC ROAD DAHISAR WAKLAN ROAD DHISAR MORI THANE 400612,Thane,MAHARASHTRA,,,
973117,GREEN CARE E WASTE RECYCLING,Available in MPCB Data,Recycler,Approved by CPCB Authority,Authorization,"Unit No. 9, Ground Floor, Building 63/KS-1 Village Pogaon, Tal. Bhiwandi, Dist. Thane Bhiwandi 421302",Thane,MAHARASHTRA,,,
9338,GREEN LIFE E WASTE RECYCLING PVT LTD,Available in MPCB Data,Recycler,Approved by CPCB Authority,Authorization,Plot NO 11 G No 40 Karodi Aurangabad Aurangabad 431136,Aurangabad,MAHARASHTRA,,,
124,SCAPE E RECYCLER PRIVATE LIMITED,Available in MPCB Data,Recycler,Approved by CPCB Authority,Authorization,"Plot 11-12, 17-18, 26-28 Chanakya Nagari Purna 431511",Parbhani,MAHARASHTRA,,,
14374,S V GREENTECH PRIVATE LIMITED,Available in MPCB Data,Recycler,Approved by CPCB Authority,Authorization,"Gut No. 517/1 &amp; 529, AT-Kelthan Village, Vada Palghar Kelthan Palghar, Maharashtra - 401204 Mumbai 401204",Mumbai,MAHARASHTRA,,,
192,THRECO RECYCLING LLP,Available in MPCB Data,Recycler,Approved by CPCB Authority,Authorization,"Hissa no. 1, Plot 153 and 149, Hedavli Village, Khopoli Pali Road, Pali 410205",Raigarh(MH),MAHARASHTRA,,,
8932,VOZON COMSOF PVT LTD,Available in MPCB Data,Recycler,Approved by CPCB Authority,Authorization,Survye No 19/9 Buchade wasti Near Indira Collage Road Marunjji Tal Mulshi dist pune Pune 411057,Pune,MAHARASHTRA,,,
5848,WESTERN RECYCLER,Available in MPCB Data,Recycler,Approved by CPCB Authority,Authorization,"PLOT NO 633,SURVEY NO 8-2 SHILPHATA PANVEL ROAD,AT POST DAHISER,DIST THANE AT POST DAHISER 400612",Thane,MAHARASHTRA,,,
2775932,AQSA STAMPING,Available in MPCB Data,Refurbisher,Pending at applicant,Amendment,"Plot No 55 ,Rangara Industrial Estate,33/35,Kiravali (Adivali Old Thane Pune Road,Dahisar,Taluka Panvel,Dist Raigad Dahisar,Taluka Panvel,Dist.Raigad",Raigarh(MH),MAHARASHTRA,,,
2763823,ECO RECYCLING LIMITED,Available in MPCB Data,Refurbisher,Pending at CPCB,Amendment,"Ecoreco House Sheetal Industrial Park, Building No 1, Plot No 4, 2nd Floor, Survey No 30, Bhoidapada Mumbai",Palghar,MAHARASHTRA,,,
1555514,ECO TECH RECYCLING,Available in MPCB Data,Refurbisher,Approved by CPCB Authority,Amendment,"C - 6, (5), Sagar Industrial Estate, S. No. 46/4, Dhumal Nagar, Vasai East Vasai",Palghar,MAHARASHTRA,,,
1890234,EMS SCRAPO,Available in MPCB Data,Refurbisher,Approved by CPCB Authority,Amendment,SURVEY NO 199 HISSA NO 03 BHARAT MARKET KHAN COMPOUND SHIL ROAD THANE,Thane,MAHARASHTRA,,,
822153,GO GREEN E-RECYCLING,Available in MPCB Data,Refurbisher,Pending at applicant,Amendment,SR. NO. 70 PANVEL SHIL ROAD VILLAGE DAHISAR PIMPRI TAL. & DIST. THANE PANVEL,Thane,MAHARASHTRA,,,
16922,GREENSCAPE ECO MANAGEMENT PRIVATE LIMITED,Available in MPCB Data,Refurbisher,Approved by CPCB Authority,Amendment,F-588 to F-591 MIA Alwar,Alwar,RAJASTHAN,,,
71321,J K CORPORATION,Available in MPCB Data,Refurbisher,Approved by CPCB Authority,Amendment,"Survey No. 242/274, Hissa No. 1 & 2 Vaganpada, Near Nana Steel, Pelhar, Nalasopara (E), Tal. Vasai, Dist. Palghar - 401208 Vasai",Palghar,MAHARASHTRA,,,
506545,KRISHNA METAL REFINERY,Available in MPCB Data,Refurbisher,Approved by CPCB Authority,Amendment,"Plot No 2/143,Sapronde Village Post Uchat,Taluka Wada,Dist Thane Village Sapronde,Tal Wada,Dist Thane",Thane,MAHARASHTRA,,,
58419,MAHARASHTRA ENTERPRISES,Available in MPCB Data,Refurbisher,Approved by CPCB Authority,Amendment,"Plot No.D-49/2, MIDC Dhule Dist. Dhule, Maharashtra Dhule",Dhule,MAHARASHTRA,,,
60580,MAHESH TRADERS,Available in MPCB Data,Refurbisher,Approved by CPCB Authority,Amendment,"PLOT NO.18, E WARD, SHREE SHAHU MARKET YARD, MARKET YARD, Kolhapur, Maharashtra, 416005 PLOT NO.18, E WARD, SHREE SHAHU MARKET YARD, MARKET YARD, Kolhapur, Maharashtra, 416005 Kolhapur",Kolhapur,MAHARASHTRA,,,
537932,MASSTECH RECYCLING LLP,Available in MPCB Data,Refurbisher,Pending at applicant,Amendment,"Gala No 56,58,59 & 82,CTS No 118 MJK Compound, Khairani Road, Saki Naka, Andheri Andheri East",Mumbai,MAHARASHTRA,,,
38248,MOONLAXMI-E-WASTE & RECYCLING SOLUTIONS LLP,Available in MPCB Data,Refurbisher,Pending at applicant,Amendment,"Plot No 1125, Sr. No. 15/1/1, Arihant Marg, Near Sukhada Vardha Society, Sukhasagar Nagar, Katraj, Haweli, District Pune – 411046 Katraj, Haweli",Pune,MAHARASHTRA,,,
59236,PRABHUNATH TRADERS,Available in MPCB Data,Refurbisher,Pending at applicant,Amendment,"survey number 314, hissa no 2, uruli devachi, taluka haveli, dist pune pune",Pune,MAHARASHTRA,,,
967935,RECYCLE MITRA ECO CARE LLP,Available in MPCB Data,Refurbisher,Pending at applicant,Amendment,"Plot No. A-368, Floor No. 1 Wagle Industrial Estate, Tal. & Dist. Thane Thane",Thane,MAHARASHTRA,,,
671111,ROSHANI SCRAP CENTER,Available in MPCB Data,Refurbisher,Approved by CPCB Authority,Amendment,"Gat No 879, Nurani Masjid, Kudalwadi, Chikhali, Pune Pune",Pune,MAHARASHTRA,,,
1118064,SADAB TRADERS,Available in MPCB Data,Refurbisher,Pending at applicant,Amendment,"Plot No. 1154, Gala No. B-3, Gat No. 140/2A/1, Village Vilholi, Behind Jain Temple Tal & Dist. Nashik 422010 NASHIK",Nashik,MAHARASHTRA,,,
1651449,S K ENTERPRISES,Available in MPCB Data,Refurbisher,Approved by CPCB Authority,Amendment,"S. No. 77, Hissa No. 1 Hindustan Market, Daighar, Shil Phata Road Thane",Thane,MAHARASHTRA,,,
2853999,S. K. ENTERPRISES,Available in MPCB Data,Refurbisher,Pending at applicant,Amendment,"SK Enterprises Plot no. 134/1, 183 Industrial Estate, Pune Road, Kedgaon, Industrial Estate Ahmednagar",Ahmed Nagar,MAHARASHTRA,,,
12782,TRISHULIN ENTERPRISES,Available in MPCB Data,Refurbisher,Pending at applicant,Amendment,"Servey no. 905/1 Plot no. 42, Musalgaon Sinnar",Nashik,MAHARASHTRA,,,
34306,WONDER PRINT TECHNOLOGIES,Available in MPCB Data,Refurbisher,Pending at applicant,Amendment,"H-3/16, MIDC, Ambad, Nashik Nashik",Nashik,MAHARASHTRA,,,
