RecyclerID,Company Name,Info,Status,Type,Address,District,State
5544,UNIVERSAL POWER SOLUTIONS,Recycler,Approved by CPCB Authority,Authorization,"Khewat No. 120/113 Khatoni No. 148 Kh No 15, Killa No. 6/2/2, 3-10 Vill-Heerapur Sub-Tehsil- Mohna Ballabgarh, Ballabgarh, Faridabad, Haryana, 121004  FARIDABAD Faridabad",Faridabad,HARYANA
6507,Universal Waste Management,Recycler,Pending at applicant,Authorization,B-10 DPK Comp Khairani Rd Sakinaka Mumbai Mumbai,Mumbai,MAHARASHTRA
2803131,URBAN EDGE ENVIRONMENT PRIVATE LIMITED,Recycler,Approved by CPCB Authority,Authorization,"KHASRA NO 23, RUKANDDINPUR MISHRI URF PHAPHUNDA, HAPUR ROAD  MEERUT Meerut",Meerut,UTTAR PRADESH
154,URBAN METALS,Recycler,Pending at applicant,Authorization,E-2118 Ramchandrapura RIICO Industrial Area Sitapura Jaipur Sanganer Jaipur JAIPUR Jaipur,Jaipur,RAJASTHAN
254,USH INDIA RECYCLER PVT LTD,Recycler,Pending at applicant,Authorization,PLOT NO 4-5 BARUN INDUSTRY AREA ARUNGABAD BARUN Aurangabad(BH),Aurangabad(BH),BIHAR
173,VANS CHEMISTRY PVT LTD,Recycler,Approved by CPCB Authority,Authorization,"94/5, 13 &amp;14, SSR Layout, Kannahalli, Seegehalli, Magadi Road Bangalore Bangalore",Bangalore,KARNATAKA
2826170,VIABLE E-WASTE RECYCLER PRIVATE LIMITED,Recycler,Pending at applicant,Authorization,"Structure Plot no. K-38, Situated At Village Begrajpur Industrial Area Tehsil Khatauli MZN Khanupur Muzaffarnagar",Muzaffarnagar,UTTAR PRADESH
229,VICTORY RECOVERY RECYCLE TECHNOLOGIES INDIA PRIVATE LIMITED,Recycler,Pending at applicant,Authorization,"1, DOUBLE DRAGON INDUSTRIAL PARK, KANNUR POST,KOTTAIYUR TIRUVALLUR Tiruvallur",Tiruvallur,TAMIL NADU
115,VIROGREEN INDIA PRIVATE LIMITED,Recycler,Approved by CPCB Authority,Authorization,"S.NO.297/1B-2, NO.49, PAPPANKUPPAM VILLAGE S.R.KANDIGAI ROAD GUMMIDIPOONDI Tiruvallur",Tiruvallur,TAMIL NADU
21680,Vorgoo Recycling Private Limited,Recycler,Approved by CPCB Authority,Authorization,Plot No 214 sector 3 IMT Bawal Bawal Rewari Bawal Rewari,Rewari,HARYANA
