RecyclerID,Company Name,Info ,Status,Type,Address,District,State
286,TERRANOVA ECO MANAGEMENT PVT LTD,Recycler,Registration Granted,Authorization,"Plot No.59/263/1/19/5, Ground , First and Second Floor , Survey No.19/5,19/8,19/9 and 19/11,NH4,Malaonagathihalli, T.Begur,Nelamangala,  Bangaluru 561123",Bangalore Rural,KARNATAKA
131,TES-AMM (INDIA) PRIVATE LIMITED,Recycler,Registration Granted,Authorization,"A-18 SIPCOT Industrial Growth Center Panrutti A village Oragadam, Sriperumbudur Taluk, Kancheepuram District  Oragadam 631604",Kanchipuram,TAMIL NADU
209,TES AMM (INDIA) PVT LTD,Recycler,Registration Granted,Authorization,"No.8,Sy.No.118, Machohalli Village, Mookambika Temple Road, Magadi Main Road,   Bangaluru 560091",Bangalore,KARNATAKA
5690,THAPAR DISPOSAL INDUSTRIES,Recycler,Registration Granted,Authorization,902-A/5/6 CHARA MANDI ROAD   AMBALA CITY 134003,Ambala,HARYANA
76,Think Recycling Private Limited,Recycler,Registration Granted,Authorization,B-77 KSSIDC INDUSTRIAL ESTATE BOMMASANDRA  BENGALURU 560099,Bangalore,KARNATAKA
192,THRECO RECYCLING LLP,Recycler,Registration Granted,Authorization,"Hissa no. 1, Plot 153 and 149, Hedavli Village, Khopoli Pali Road,  Pali 410205",Raigarh(MH),MAHARASHTRA
9661,TRANS THANE CREEK WASTE MANAGEMENT ASSOCIATION,Recycler,Registration Granted,Authorization,"Plot No-128, TTC Waste Management, TTC MIDC, Near L&amp;T Infotech, Mahape,  Navi Mumbai 400710",Thane,MAHARASHTRA
5282,Trivendent Technologies Pvt Ltd (Zolopik,Recycler,Registration Granted,Authorization,"No 7A1, KIADB, INDUSTRY POWDER COATING, off Whitefield Road Kadugodi Industrial Area, Bengaluru, Bengaluru Urban  Bengaluru 560067",Bangalore,KARNATAKA
108,UNICARE E WASTE RECYCLER,Recycler,Registration Granted,Authorization,"Plot no 9/1, Raj industrial Park-lll Village-karchiya,Jarod-Savli-Highway,Ta: Savli  District: Vadodara 391520",Vadodara,GUJARAT
289,Unique Eco Recycle,Recycler,Registration Granted,Authorization,"Patwari Halka No 26, Survey No. 332/2/9 Nemawar Road, Palda  Indore 452001",Indore,MADHYA PRADESH
