RefurbisherID,Company Name,Info,Status,Type,Address,District,State
506545,Krishna Metal Refinery,Refurbisher,Approved by CPCB Authority,Amendment,"Plot No 2/143,Sapronde Village Post Uchat,Taluka Wada,Dist Thane Village Sapronde,Tal Wada,Dist Thane",Thane,MAHARASHTRA
58419,MAHARASHTRA ENTERPRISES,Refurbisher,Approved by CPCB Authority,Amendment," Plot No.D-49/2, MIDC Dhule  Dist. Dhule, Maharashtra  Dhule",Dhule,MAHARASHTRA
60580,MAHESH TRADERS,Refurbisher,Approved by CPCB Authority,Amendment,"PLOT NO.18, E WARD, SHREE SHAHU MARKET YARD, MARKET YARD, Kolhapur, Maharashtra, 416005 PLOT NO.18, E WARD, SHREE SHAHU MARKET YARD, MARKET YARD, Kolhapur, Maharashtra, 416005 Kolhapur",Kolhapur,MAHARASHTRA
931206,M A K TECHNOLOGY INDUSTRIAL,Refurbisher,Approved by CPCB Authority,Amendment,"No. SP-5, veersandra IE, phase II, 2nd cross, husukur main road Electronic City, Bengaluru Bengaluru",Bangalore,KARNATAKA
1384916,Manak Waste Management Private Limited,Refurbisher,Approved by CPCB Authority,Amendment,"C-21, plot No, 21, LGF, GF, FF, and SF, Block C, Sector 80, Noida, Gautham Buddha Nagar Uttar Pradesh 201301 noida",Gautam Buddha Nagar,UTTAR PRADESH
652330,MARSS RECYCLER PVT. LTD,Refurbisher,Pending for approval at CPCB Authority,Amendment,"Building No./Flat No.: G-5 Name Of Premises/Building: RIICO INDUSTRIAL AREA Road/Street: MANDA-I ,  chomu",Jaipur,RAJASTHAN
537932,Masstech Recycling LLP,Refurbisher,Pending at applicant,Amendment,"Gala No 56,58,59 & 82,CTS No 118 MJK Compound, Khairani Road, Saki Naka, Andheri Andheri East",Mumbai,MAHARASHTRA
994804,MATRIX INFO SYSTEMS PRIVATE LIMITED,Refurbisher,Approved by CPCB Authority,Amendment,"X-22, B BLOCK PHASE 2 INDUSTRIAL AREA NEW DELHI",South Delhi,DELHI
1897437,Meta tech,Refurbisher,Pending at CPCB,Amendment,Chharibana karchana tilakhwar Prayagraj Arazi No- 202 Prayagraj,Allahabad,UTTAR PRADESH
38248,Moonlaxmi-E-Waste & Recycling Solutions LLP,Refurbisher,Pending at applicant,Amendment,"Plot No 1125, Sr. No. 15/1/1, Arihant Marg, Near Sukhada Vardha Society, Sukhasagar Nagar, Katraj, Haweli, District Pune – 411046 Katraj, Haweli",Pune,MAHARASHTRA
67181,M/S Kesariya Metal Corporation,Refurbisher,Pending at applicant,Amendment,"Gat No 147, Mahalunge, Chakan Shed No 1 ,Taluka Khed, Dist – Pune – 410501 Taluka Khed, Dist – Pune",Pune,MAHARASHTRA
849893,M/s MEHER WASTE SOLUTIONS,Refurbisher,Pending at applicant,Amendment,CTS NO 7533 Sr No 130 Hissa No 33 Panama Motor Compound Shastri Nagar Air India Road Kalina Santacruz Kurla Mumbai Suburban 400029 Mumbai,Pune,MAHARASHTRA
1428082,M/s Pranam Enterproses,Refurbisher,Pending at applicant,Amendment,"SR NO 286/1/6, NEXT TO BADHE WAREHOUSE, VILL URULI- DEVACHI TALIKA - HAVELI PUNE PUNE PUNE",Pune,MAHARASHTRA
1428205,M/S SHABBIR TRADERS,Refurbisher,Approved by CPCB Authority,Amendment,"Gala No - P/16, Sl No - 121/2, Balaji Industris Park, Tondre Village MIDC Taloja Road, behind Hindalco Company, Taloja MIDC, Navi Mumbai, Raigad Navi Mumbai",Raigarh(MH),MAHARASHTRA
